,AGNO,RBD,COD_REG_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE2,PROM_ASIS_APR_HOM,PROM_ASIS_APR_MUJ,PROM_ASIS_REP_HOM,PROM_ASIS_REP_MUJ,PROM_ASIS
193,2017,206,2,2,1,0,1,2,"94,6625","95,0333333333333","88,1428571428571","87,6666666666667","94,1242774566474"
194,2017,208,2,3,2,0,1,2,"92,7993421052632","93,4728915662651","87,9", ,"93,0696594427245"
195,2017,208,2,3,2,0,1,5,"92,9740932642487","90,8617511520737","86,1","87,3333333333333","91,6879432624114"
196,2017,210,2,2,1,0,1,2,"90,9762711864407","90,8992248062015","72,9444444444444","75,8888888888889","90,148275862069"
197,2017,211,2,2,1,0,1,5,"92,9090909090909","91,0652173913043","65,0714285714286","82,3636363636364","89,6146341463415"
198,2017,211,2,2,1,0,1,7,"97,2",90, , ,"91,3846153846154"
199,2017,211,2,2,1,0,1,7,"92,1388888888889","89,9473684210526",61, ,"90,8392857142857"
200,2017,214,2,2,1,1,1,2,"94,5714285714286","96,5714285714286", ,75,"94,2"
201,2017,217,2,1,1,0,1,5,"94,3002364066194","94,0633561643836","92,1224489795918","90,4838709677419","93,8694096601073"
202,2017,218,2,1,1,0,1,5,"90,6614583333333","89,192513368984","80,5",70,"89,5969387755102"
203,2017,219,2,1,1,0,1,7,"91,7580952380952","90,5562130177515","78,979381443299","75,8648648648649","89,3055555555556"
204,2017,219,2,1,1,0,1,7,"90,4090909090909","89,5555555555556","67,1666666666667",62,"87,3538461538461"
205,2017,220,2,1,1,0,1,7,"94,5198098256735","93,2948453608247","87,5833333333333","84,2307692307692","93,680686695279"
206,2017,222,2,1,1,0,1,3,"79,3076923076923","76,7333333333333",47, ,"76,8620689655172"
207,2017,222,2,1,1,0,1,6,"76,2177419354839","77,280276816609","57,75","58,875","75,2581196581197"
208,2017,223,2,1,1,0,1,2,"93,2344213649852","93,2371541501976","88,1785714285714","87,1666666666667","92,8411949685535"
209,2017,224,2,1,1,0,1,2,"90,7537473233405","91,1701149425287","84,6363636363636","81,6","90,7055674518201"
210,2017,225,2,1,1,0,1,2,"95,1471698113208","95,2584493041749","94,7272727272727","90,9","95,1555977229602"
211,2017,226,2,1,1,0,1,2,"91,5085836909871","91,7956043956044",83,74,"91,3728813559322"
212,2017,227,2,1,1,0,1,2,"93,0983397190294","93,4299674267101","82,0588235294118","82,2380952380952","92,8230027548209"
213,2017,228,2,1,1,0,1,2,"91,0852713178295","91,9665427509294","79,5555555555556",58,"90,9042357274402"
